,,,Stevneuke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Knebøy,"Knebøy, konkstil",4,2,4,,,75%,0,-,0,,E1RM,KG,,,,,,,,,E1RM,KG,,,,,,,,,,,,Øvelseskategori,Øvelse,Antall sett,Antall reps,Tonnasje,Tonnasje_Relativ,MI,E1RM_peak,E1RM,,,,,,,,,,Øvelseskategori,Øvelse,Antall sett,Antall reps,Tonnasje,Tonnasje_Relativ,MI,E1RM_peak,E1RM,,,,,,,,
,,Knebøy,,,,,,,,0,-,0,,,Reps,,,,,,,,,,Reps,,,,,,,,,,,,Knebøy,"Knebøy, konkstil",0,0,0,,,0,Tonnasje,0,0,0,0,0,0,0,0,,Bakside_lår,,0,0,0,,,0,Tonnasje,0,0,0,0,0,0,0,0
,0,Knebøy,,,,,,,,0,-,0,,,RPE,,,,,,,,,,RPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Knebøy,,,,,,,,0,-,0,,,Sett,1,2,3,4,5,6,7,8,,Sett,1,2,3,4,5,6,7,8,,,,,,,,,,,,Stats pr sett,Sett 1,Sett 2,Sett 3,Sett 4,Sett 5,Sett 6,Sett 7,Sett 8,,,,,,,,,,Stats pr sett,Sett 1,Sett 2,Sett 3,Sett 4,Sett 5,Sett 6,Sett 7,Sett 8
,115,Benkpress,Benkpress m/stopp,4,2,4,,,75%,"87,5",-,0,,E1RM,KG,,,,,,,,,E1RM,KG,,,,,,,,,,,,Øvelseskategori,Øvelse,Antall sett,Antall reps,Tonnasje,Tonnasje_Relativ,MI,E1RM_peak,E1RM,,,,,,,,,,Øvelseskategori,Øvelse,Antall sett,Antall reps,Tonnasje,Tonnasje_Relativ,MI,E1RM_peak,E1RM,,,,,,,,
,,Benkpress,,,,,,,,0,-,0,,,Reps,,,,,,,,,,Reps,,,,,,,,,,,,Knebøy,,0,0,0,,,0,Tonnasje,0,0,0,0,0,0,0,0,,,,0,0,0,,,0,Tonnasje,0,0,0,0,0,0,0,0
,,Bryst,,,,,,,,0,-,0,,,RPE,,,,,,,,,,RPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bryst,,,,,,,,0,-,0,,Benkpress m/stopp,Sett,1,2,3,4,5,6,7,8,,Sett,1,2,3,4,5,6,7,8,,,,,,,,,,,,Stats pr sett,Sett 1,Sett 2,Sett 3,Sett 4,Sett 5,Sett 6,Sett 7,Sett 8,,,,,,,,,,Stats pr sett,Sett 1,Sett 2,Sett 3,Sett 4,Sett 5,Sett 6,Sett 7,Sett 8
,,Bakside_lår,,,,,,,,0,-,0,,E1RM,KG,,,,,,,,,E1RM,KG,,,,,,,,,,,,Øvelseskategori,Øvelse,Antall sett,Antall reps,Tonnasje,Tonnasje_Relativ,MI,E1RM_peak,E1RM,,,,,,,,,,Øvelseskategori,Øvelse,Antall sett,Antall reps,Tonnasje,Tonnasje_Relativ,MI,E1RM_peak,E1RM,,,,,,,,
,,Bakside_lår,,,,,,,,0,-,0,,,Reps,,,,,,,,,,Reps,,,,,,,,,,,,Benkpress,Benkpress m/stopp,0,0,0,,,0,Tonnasje,0,0,0,0,0,0,0,0,,,,0,0,0,,,0,Tonnasje,0,0,0,0,0,0,0,0
,,,,,,,,,,0,-,0,,,RPE,,,,,,,,,,RPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,-,0,,,Sett,1,2,3,4,5,6,7,8,,Sett,1,2,3,4,5,6,7,8,,,,,,,,,,,,Stats pr sett,Sett 1,Sett 2,Sett 3,Sett 4,Sett 5,Sett 6,Sett 7,Sett 8,,,,,,,,,,Stats pr sett,Sett 1,Sett 2,Sett 3,Sett 4,Sett 5,Sett 6,Sett 7,Sett 8
,,,,,,,,,,0,-,0,,E1RM,KG,,,,,,,,,E1RM,KG,,,,,,,,,,,,Øvelseskategori,Øvelse,Antall sett,Antall reps,Tonnasje,Tonnasje_Relativ,MI,E1RM_peak,E1RM,,,,,,,,,,Øvelseskategori,Øvelse,Antall sett,Antall reps,Tonnasje,Tonnasje_Relativ,MI,E1RM_peak,E1RM,,,,,,,,
,,,,,,,,,,0,-,0,,,Reps,,,,,,,,,,Reps,,,,,,,,,,,,Bryst,,0,0,0,,,0,Tonnasje,0,0,0,0,0,0,0,0,,,,0,0,0,,,0,Tonnasje,0,0,0,0,0,0,0,0
,,,,,,,,,,0,-,0,,,RPE,,,,,,,,,,RPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
